ID,observed_on,time_observed_at,user_id,user_login,updated_at,url,image_url,description,num_identification_agreements,place_guess,latitude,longitude,species_guess,scientific_name,taxon_id
17110719,10/1/18,2018-10-01 18:42:17 UTC,291781,missusjenn,2018-10-02 21:37:09 UTC,https://www.inaturalist.org/observations/17110719,https://static.inaturalist.org/photos/25910973/medium.jpeg?1538430119,,1,"Deep Creek Dam, Snyder Rd over Perkiomen Creek Bridge, Green Lane, PA 18054, USA",40.3331604,-75.48325348,Chicken Fat Mushroom,Suillus americanus,125716
17110763,10/1/18,2018-10-01 18:44:45 UTC,291781,missusjenn,2018-10-02 21:37:28 UTC,https://www.inaturalist.org/observations/17110763,https://static.inaturalist.org/photos/25911090/medium.jpeg?1538430221,,1,"Deep Creek Dam, Snyder Rd over Perkiomen Creek Bridge, Green Lane, PA 18054, USA",40.33325958,-75.48286438,Chicken Fat Mushroom,Suillus americanus,125716
17114248,9/30/18,2018-09-30 17:01:14 UTC,1132108,grant_h,2019-07-28 00:01:46 UTC,https://www.inaturalist.org/observations/17114248,https://static.inaturalist.org/photos/25917899/medium.jpg?1538437824,,1,"Seguin, Seguin, ON, CA",45.20506333,-79.6594,Boletus paluster,Boletus paluster,335671
17115571,10/1/18,2018-10-01 22:04:51 UTC,787309,mjwalrus,2018-12-06 04:03:11 UTC,https://www.inaturalist.org/observations/17115571,https://static.inaturalist.org/photos/25920330/medium.jpg?1538440882,,1,"Louisiana, US",30.93710255,-93.33127049,Suillus cothurnatus,Suillus cothurnatus,352471
17116817,9/30/18,2018-09-30 18:32:00 UTC,367383,jeremyhussell,2018-10-03 01:36:12 UTC,https://www.inaturalist.org/observations/17116817,https://static.inaturalist.org/photos/25912514/medium.jpeg?1538431619,,1,"Norfolk County, ON, Canada",42.66116716,-80.47758855,Painted Suillus,Suillus spraguei,782231
17132400,10/2/18,2018-10-02 17:01:23 UTC,616772,nrpeters,2020-06-09 04:25:31 UTC,https://www.inaturalist.org/observations/17132400,https://static.inaturalist.org/photos/25950109/medium.jpg?1538500104,,3,"Bradys Run Park, Beaver Falls, PA, US",40.73085754,-80.36640611,Chicken Fat Mushroom,Suillus americanus,125716
17139769,10/2/18,2018-10-01 15:36:00 UTC,196849,questagame,2018-10-22 15:25:16 UTC,https://www.inaturalist.org/observations/17139769,https://static.inaturalist.org/photos/25963302/medium.jpeg?1538516672,"Sighting and photos (c) simone3.
",1,"Capital, CA-BC, CA",48.50407434,-123.2268601,Purple-veiled Slippery Jack,Suillus luteus,53488
17142801,9/29/18,2018-09-29 18:38:29 UTC,1044622,bmccarthy,2018-10-03 01:35:56 UTC,https://www.inaturalist.org/observations/17142801,https://static.inaturalist.org/photos/25968953/medium.jpeg?1538524625,,1,"Hicks Trail, Exeter, RI 02822, USA",41.59543915,-71.70236774,Painted Suillus,Suillus spraguei,782231
17144345,10/1/18,2018-10-01 18:57:00 UTC,256327,tallastro,2019-08-31 22:11:18 UTC,https://www.inaturalist.org/observations/17144345,https://static.inaturalist.org/photos/25963836/medium.jpeg?1538517283,,2,"Wilkes County, NC, USA",36.39546275,-81.05257757,Painted Suillus,Suillus spraguei,782231
17156801,9/29/18,2018-09-29 16:45:00 UTC,1178215,vkhersonsky,2018-10-05 04:14:40 UTC,https://www.inaturalist.org/observations/17156801,https://static.inaturalist.org/photos/25994516/medium.jpg?1538577655,,1,"Pennsylvania, US",40.59086846,-80.05477753,Chicken Fat Mushroom,Suillus americanus,125716
